"","河川名稱","測站名稱","測站代碼","水體分類等級_.選填.","中文地址_.選填.","經度_度","經度_分","經度_秒","緯度_度","緯度_分","緯度_秒","X_座標_TWD97_121","Y_座標_TWD97_121","X_座標_TWD97_119","Y_座標_TWD97_119","X_座標_TWD97_117","Y_座標_TWD97_117","X_座標_TWD97_115","Y_座標_TWD97_115"
"1","頭前溪","隆恩堰下游300公尺處",1,"乙","隆恩堰下游300公尺處",NA,NA,NA,NA,NA,NA,252926,2743594,NA,NA,NA,NA,NA,NA
"2","頭前溪","溪州大橋",2,"乙","溪州大橋",NA,NA,NA,NA,NA,NA,247906,2746363,NA,NA,NA,NA,NA,NA
"3","頭前溪","舊港大橋",3,"乙","舊港大橋",NA,NA,NA,NA,NA,NA,244022,2748306,NA,NA,NA,NA,NA,NA
"4","客雅溪","中正橋",4,"－","中正橋",NA,NA,NA,NA,NA,NA,248834,2740096,NA,NA,NA,NA,NA,NA
"5","客雅溪","當賢橋",5,"－","當賢橋",NA,NA,NA,NA,NA,NA,246305,2742647,NA,NA,NA,NA,NA,NA
"6","客雅溪","南大路672巷無名橋",6,"－","南大路672巷無名橋",NA,NA,NA,NA,NA,NA,246204,2742738,NA,NA,NA,NA,NA,NA
"7","客雅溪","福樹橋",7,"－","福樹橋",NA,NA,NA,NA,NA,NA,243471,2744154,NA,NA,NA,NA,NA,NA
"8","三姓溪","三姓橋",8,"－","三姓橋",NA,NA,NA,NA,NA,NA,242809,2742329,NA,NA,NA,NA,NA,NA
"9","三姓溪","香北橋",9,"－","香北橋",NA,NA,NA,NA,NA,NA,242814,2742829,NA,NA,NA,NA,NA,NA
"10","三姓溪","清碑橋",10,"－","清碑橋",NA,NA,NA,NA,NA,NA,242378,2743097,NA,NA,NA,NA,NA,NA
"11","鹽港溪","南興橋",11,"丁","南興橋",NA,NA,NA,NA,NA,NA,243582,2735617,NA,NA,NA,NA,NA,NA
"12","鹽港溪","福德橋",12,"丁","福德橋",NA,NA,NA,NA,NA,NA,241850,2735838,NA,NA,NA,NA,NA,NA
"13","鹽港溪","鹽港溪橋",13,"丁","鹽港溪橋",NA,NA,NA,NA,NA,NA,239935,2737594,NA,NA,NA,NA,NA,NA
