新竹市就業者之教育程度                           ,,,,,,,,,,,,
                                                                                                      單位：千人,,,,,,,,,,,,
年別,總   計,,國小及以下,,國  中,,高中膱,,專科及大學以上,,,
,人數,%,人數,%,人數,%,人數,%,人數,,%,
71年,100,100.00,44,43.91,20,20.22,23,23.07,13,,12.95,
72年,116,100.00,52,44.84,21,18.40,26,22.56,17,,14.29,
73年,123,100.00,52,43.01,24,19.22,29,23.51,18,,14.39,
74年,122,100.00,44,36.19,24,19.85,33,26.82,21,,17.00,
75年,124,100.00,43,34.28,22,18.08,36,29.05,23,,18.48,
76年,132,100.00,51,38.43,24,18.24,37,28.00,20,,15.36,
77年,134,100.00,50,37.79,26,19.67,37,27.91,20,,14.70,
78年,142,100.00,54,37.62,30,20.95,39,27.65,20,,13.81,
79年,138,100.00,45,32.90,27,19.46,41,29.39,25,,18.30,
80年,131,100.00,38,28.82,26,20.01,39,30.25,27,,20.80,
81年,136,100.00,35,25.26,27,19.73,45,32.67,31,,22.34,
82年,140,100.00,33,23.57,26,18.57,45,32.14,36,,25.72,
83年,146,100.00,35,23.97,29,20.13,48,32.70,34,,23.19,
84年,146,100.00,33,23.24,28,19.06,51,35.54,34,,23.15,
85年,150,100.00,29,19.29,25,16.83,54,36.03,42,,27.85,
86年,154,100.00,28,17.71,25,16.32,51,33.45,50,,32.52,
87年,154,100.00,29,18.63,26,16.57,52,33.66,48,,31.14,
88年,158,100.00,27,17.02,26,16.38,55,34.54,51,,32.05,
89年,167,100.00,26,15.83,27,16.41,57,34.18,56,,33.56,
90年,162,100.00,24,14.76,24,15.09,55,33.88,59,,36.25,
資料來源：行政院主計總處。,,,,,,,,,,,,
